variable,name,description,behaviour,computed_at_runtime_or_static
check.names.singular.words,check singular names words,Human readable words joined by spaces. for the singular form of the check.,Scalar string.,computed_runtime
check.names.singular.words_lower,check singular names words_lower,Lowercase words joined by spaces. for the singular form of the check.,Scalar string.,computed_runtime
check.names.singular.words_upper,check singular names words_upper,Uppercase words joined by spaces. for the singular form of the check.,Scalar string.,computed_runtime
check.names.singular.words_title,check singular names words_title,Title case words joined by spaces. for the singular form of the check.,Scalar string.,computed_runtime
check.names.singular.camel_case,check singular names camel_case,camelCase form. for the singular form of the check.,Scalar string.,computed_runtime
check.names.singular.pascal_case,check singular names pascal_case,PascalCase form. for the singular form of the check.,Scalar string.,computed_runtime
check.names.singular.snake_case,check singular names snake_case,snake_case form. for the singular form of the check.,Scalar string.,computed_runtime
check.names.singular.kebab_case,check singular names kebab_case,kebab-case form. for the singular form of the check.,Scalar string.,computed_runtime
check.names.singular.dot_path,check singular names dot_path,dot.path form. for the singular form of the check.,Scalar string.,computed_runtime
check.names.singular.slash_path,check singular names slash_path,slash/path form. for the singular form of the check.,Scalar string.,computed_runtime
check.names.singular.filesystem_path,check singular names filesystem_path,Filesystem-safe path form. for the singular form of the check.,Scalar string.,computed_runtime
check.names.singular.constant_case,check singular names constant_case,CONSTANT_CASE form. for the singular form of the check.,Scalar string.,computed_runtime
check.names.singular.train_case,check singular names train_case,Train-Case form. for the singular form of the check.,Scalar string.,computed_runtime
check.names.singular.lower_case,check singular names lower_case,Lowercase compact form. for the singular form of the check.,Scalar string.,computed_runtime
check.names.singular.upper_case,check singular names upper_case,Uppercase compact form. for the singular form of the check.,Scalar string.,computed_runtime
check.names.plural.original,check plural names original,Original input name before normalization. for the plural form of the check.,Scalar string.,computed_runtime
check.names.plural.parts,check plural names parts,Array of parsed words/segments. for the plural form of the check.,Array of strings; loopable.,computed_runtime
check.names.plural.parts_length,check plural names parts_length,Number of parsed name parts. for the plural form of the check.,Number derived from parts length.,computed_runtime
check.names.plural.word,check plural names word,Last or primary word in the parsed name. for the plural form of the check.,Scalar string.,computed_runtime
check.names.plural.words,check plural names words,Human readable words joined by spaces. for the plural form of the check.,Scalar string.,computed_runtime
check.names.plural.words_lower,check plural names words_lower,Lowercase words joined by spaces. for the plural form of the check.,Scalar string.,computed_runtime
check.names.plural.words_upper,check plural names words_upper,Uppercase words joined by spaces. for the plural form of the check.,Scalar string.,computed_runtime
check.names.plural.words_title,check plural names words_title,Title case words joined by spaces. for the plural form of the check.,Scalar string.,computed_runtime
check.names.plural.camel_case,check plural names camel_case,camelCase form. for the plural form of the check.,Scalar string.,computed_runtime
check.names.plural.pascal_case,check plural names pascal_case,PascalCase form. for the plural form of the check.,Scalar string.,computed_runtime
check.names.plural.snake_case,check plural names snake_case,snake_case form. for the plural form of the check.,Scalar string.,computed_runtime
check.names.plural.kebab_case,check plural names kebab_case,kebab-case form. for the plural form of the check.,Scalar string.,computed_runtime
check.names.plural.dot_path,check plural names dot_path,dot.path form. for the plural form of the check.,Scalar string.,computed_runtime
check.names.plural.slash_path,check plural names slash_path,slash/path form. for the plural form of the check.,Scalar string.,computed_runtime
check.names.plural.filesystem_path,check plural names filesystem_path,Filesystem-safe path form. for the plural form of the check.,Scalar string.,computed_runtime
check.names.plural.constant_case,check plural names constant_case,CONSTANT_CASE form. for the plural form of the check.,Scalar string.,computed_runtime
check.names.plural.train_case,check plural names train_case,Train-Case form. for the plural form of the check.,Scalar string.,computed_runtime
check.names.plural.lower_case,check plural names lower_case,Lowercase compact form. for the plural form of the check.,Scalar string.,computed_runtime
check.names.plural.upper_case,check plural names upper_case,Uppercase compact form. for the plural form of the check.,Scalar string.,computed_runtime
transition.names.original,transition names original,Original input name before normalization. for the transition.,Scalar string.,static
transition.names.parts,transition names parts,Array of parsed words/segments. for the transition.,Array of strings; loopable.,computed_runtime
transition.names.parts_length,transition names parts_length,Number of parsed name parts. for the transition.,Number derived from parts length.,computed_runtime
transition.names.word,transition names word,Last or primary word in the parsed name. for the transition.,Scalar string.,computed_runtime
transition.names.words,transition names words,Human readable words joined by spaces. for the transition.,Scalar string.,computed_runtime
transition.names.words_lower,transition names words_lower,Lowercase words joined by spaces. for the transition.,Scalar string.,computed_runtime
transition.names.words_upper,transition names words_upper,Uppercase words joined by spaces. for the transition.,Scalar string.,computed_runtime
transition.names.words_title,transition names words_title,Title case words joined by spaces. for the transition.,Scalar string.,computed_runtime
transition.names.camel_case,transition names camel_case,camelCase form. for the transition.,Scalar string.,computed_runtime
transition.names.pascal_case,transition names pascal_case,PascalCase form. for the transition.,Scalar string.,computed_runtime
transition.names.snake_case,transition names snake_case,snake_case form. for the transition.,Scalar string.,computed_runtime
transition.names.kebab_case,transition names kebab_case,kebab-case form. for the transition.,Scalar string.,computed_runtime
transition.names.dot_path,transition names dot_path,dot.path form. for the transition.,Scalar string.,computed_runtime
transition.names.slash_path,transition names slash_path,slash/path form. for the transition.,Scalar string.,computed_runtime
transition.names.filesystem_path,transition names filesystem_path,Filesystem-safe path form. for the transition.,Scalar string.,computed_runtime
transition.names.constant_case,transition names constant_case,CONSTANT_CASE form. for the transition.,Scalar string.,computed_runtime
transition.names.train_case,transition names train_case,Train-Case form. for the transition.,Scalar string.,computed_runtime
transition.names.lower_case,transition names lower_case,Lowercase compact form. for the transition.,Scalar string.,computed_runtime
transition.names.upper_case,transition names upper_case,Uppercase compact form. for the transition.,Scalar string.,computed_runtime
transition.names.singular.original,transition singular names original,Original input name before normalization. for the singular form of the transition.,Scalar string.,computed_runtime
transition.names.singular.parts,transition singular names parts,Array of parsed words/segments. for the singular form of the transition.,Array of strings; loopable.,computed_runtime
transition.names.singular.parts_length,transition singular names parts_length,Number of parsed name parts. for the singular form of the transition.,Number derived from parts length.,computed_runtime
transition.names.singular.word,transition singular names word,Last or primary word in the parsed name. for the singular form of the transition.,Scalar string.,computed_runtime
transition.names.singular.words,transition singular names words,Human readable words joined by spaces. for the singular form of the transition.,Scalar string.,computed_runtime
transition.names.singular.words_lower,transition singular names words_lower,Lowercase words joined by spaces. for the singular form of the transition.,Scalar string.,computed_runtime
transition.names.singular.words_upper,transition singular names words_upper,Uppercase words joined by spaces. for the singular form of the transition.,Scalar string.,computed_runtime
transition.names.singular.words_title,transition singular names words_title,Title case words joined by spaces. for the singular form of the transition.,Scalar string.,computed_runtime
transition.names.singular.camel_case,transition singular names camel_case,camelCase form. for the singular form of the transition.,Scalar string.,computed_runtime
transition.names.singular.pascal_case,transition singular names pascal_case,PascalCase form. for the singular form of the transition.,Scalar string.,computed_runtime
transition.names.singular.snake_case,transition singular names snake_case,snake_case form. for the singular form of the transition.,Scalar string.,computed_runtime
transition.names.singular.kebab_case,transition singular names kebab_case,kebab-case form. for the singular form of the transition.,Scalar string.,computed_runtime
transition.names.singular.dot_path,transition singular names dot_path,dot.path form. for the singular form of the transition.,Scalar string.,computed_runtime
transition.names.singular.slash_path,transition singular names slash_path,slash/path form. for the singular form of the transition.,Scalar string.,computed_runtime
transition.names.singular.filesystem_path,transition singular names filesystem_path,Filesystem-safe path form. for the singular form of the transition.,Scalar string.,computed_runtime
transition.names.singular.constant_case,transition singular names constant_case,CONSTANT_CASE form. for the singular form of the transition.,Scalar string.,computed_runtime
transition.names.singular.train_case,transition singular names train_case,Train-Case form. for the singular form of the transition.,Scalar string.,computed_runtime
transition.names.singular.lower_case,transition singular names lower_case,Lowercase compact form. for the singular form of the transition.,Scalar string.,computed_runtime
transition.names.singular.upper_case,transition singular names upper_case,Uppercase compact form. for the singular form of the transition.,Scalar string.,computed_runtime
transition.names.plural.original,transition plural names original,Original input name before normalization. for the plural form of the transition.,Scalar string.,computed_runtime
transition.names.plural.parts,transition plural names parts,Array of parsed words/segments. for the plural form of the transition.,Array of strings; loopable.,computed_runtime
transition.names.plural.parts_length,transition plural names parts_length,Number of parsed name parts. for the plural form of the transition.,Number derived from parts length.,computed_runtime
transition.names.plural.word,transition plural names word,Last or primary word in the parsed name. for the plural form of the transition.,Scalar string.,computed_runtime
transition.names.plural.words,transition plural names words,Human readable words joined by spaces. for the plural form of the transition.,Scalar string.,computed_runtime
transition.names.plural.words_lower,transition plural names words_lower,Lowercase words joined by spaces. for the plural form of the transition.,Scalar string.,computed_runtime
transition.names.plural.words_upper,transition plural names words_upper,Uppercase words joined by spaces. for the plural form of the transition.,Scalar string.,computed_runtime
transition.names.plural.words_title,transition plural names words_title,Title case words joined by spaces. for the plural form of the transition.,Scalar string.,computed_runtime
transition.names.plural.camel_case,transition plural names camel_case,camelCase form. for the plural form of the transition.,Scalar string.,computed_runtime
transition.names.plural.pascal_case,transition plural names pascal_case,PascalCase form. for the plural form of the transition.,Scalar string.,computed_runtime
transition.names.plural.snake_case,transition plural names snake_case,snake_case form. for the plural form of the transition.,Scalar string.,computed_runtime
transition.names.plural.kebab_case,transition plural names kebab_case,kebab-case form. for the plural form of the transition.,Scalar string.,computed_runtime
transition.names.plural.dot_path,transition plural names dot_path,dot.path form. for the plural form of the transition.,Scalar string.,computed_runtime
transition.names.plural.slash_path,transition plural names slash_path,slash/path form. for the plural form of the transition.,Scalar string.,computed_runtime
transition.names.plural.filesystem_path,transition plural names filesystem_path,Filesystem-safe path form. for the plural form of the transition.,Scalar string.,computed_runtime
transition.names.plural.constant_case,transition plural names constant_case,CONSTANT_CASE form. for the plural form of the transition.,Scalar string.,computed_runtime
transition.names.plural.train_case,transition plural names train_case,Train-Case form. for the plural form of the transition.,Scalar string.,computed_runtime
transition.names.plural.lower_case,transition plural names lower_case,Lowercase compact form. for the plural form of the transition.,Scalar string.,computed_runtime
transition.names.plural.upper_case,transition plural names upper_case,Uppercase compact form. for the plural form of the transition.,Scalar string.,computed_runtime
template_group.names.original,template group names original,Original input name before normalization. for the template group.,Scalar string.,static
template_group.names.parts,template group names parts,Array of parsed words/segments. for the template group.,Array of strings; loopable.,computed_runtime
template_group.names.parts_length,template group names parts_length,Number of parsed name parts. for the template group.,Number derived from parts length.,computed_runtime
template_group.names.word,template group names word,Last or primary word in the parsed name. for the template group.,Scalar string.,computed_runtime
template_group.names.words,template group names words,Human readable words joined by spaces. for the template group.,Scalar string.,computed_runtime
template_group.names.words_lower,template group names words_lower,Lowercase words joined by spaces. for the template group.,Scalar string.,computed_runtime
template_group.names.words_upper,template group names words_upper,Uppercase words joined by spaces. for the template group.,Scalar string.,computed_runtime
template_group.names.words_title,template group names words_title,Title case words joined by spaces. for the template group.,Scalar string.,computed_runtime
template_group.names.camel_case,template group names camel_case,camelCase form. for the template group.,Scalar string.,computed_runtime
template_group.names.pascal_case,template group names pascal_case,PascalCase form. for the template group.,Scalar string.,computed_runtime
template_group.names.snake_case,template group names snake_case,snake_case form. for the template group.,Scalar string.,computed_runtime
template_group.names.kebab_case,template group names kebab_case,kebab-case form. for the template group.,Scalar string.,computed_runtime
template_group.names.dot_path,template group names dot_path,dot.path form. for the template group.,Scalar string.,computed_runtime
template_group.names.slash_path,template group names slash_path,slash/path form. for the template group.,Scalar string.,computed_runtime
template_group.names.filesystem_path,template group names filesystem_path,Filesystem-safe path form. for the template group.,Scalar string.,computed_runtime
template_group.names.constant_case,template group names constant_case,CONSTANT_CASE form. for the template group.,Scalar string.,computed_runtime
template_group.names.train_case,template group names train_case,Train-Case form. for the template group.,Scalar string.,computed_runtime
template_group.names.lower_case,template group names lower_case,Lowercase compact form. for the template group.,Scalar string.,computed_runtime
template_group.names.upper_case,template group names upper_case,Uppercase compact form. for the template group.,Scalar string.,computed_runtime
template_group.names.singular.original,template group singular names original,Original input name before normalization. for the singular form of the template group.,Scalar string.,computed_runtime
template_group.names.singular.parts,template group singular names parts,Array of parsed words/segments. for the singular form of the template group.,Array of strings; loopable.,computed_runtime
template_group.names.singular.parts_length,template group singular names parts_length,Number of parsed name parts. for the singular form of the template group.,Number derived from parts length.,computed_runtime
template_group.names.singular.word,template group singular names word,Last or primary word in the parsed name. for the singular form of the template group.,Scalar string.,computed_runtime
template_group.names.singular.words,template group singular names words,Human readable words joined by spaces. for the singular form of the template group.,Scalar string.,computed_runtime
template_group.names.singular.words_lower,template group singular names words_lower,Lowercase words joined by spaces. for the singular form of the template group.,Scalar string.,computed_runtime
template_group.names.singular.words_upper,template group singular names words_upper,Uppercase words joined by spaces. for the singular form of the template group.,Scalar string.,computed_runtime
template_group.names.singular.words_title,template group singular names words_title,Title case words joined by spaces. for the singular form of the template group.,Scalar string.,computed_runtime
template_group.names.singular.camel_case,template group singular names camel_case,camelCase form. for the singular form of the template group.,Scalar string.,computed_runtime
template_group.names.singular.pascal_case,template group singular names pascal_case,PascalCase form. for the singular form of the template group.,Scalar string.,computed_runtime
template_group.names.singular.snake_case,template group singular names snake_case,snake_case form. for the singular form of the template group.,Scalar string.,computed_runtime
template_group.names.singular.kebab_case,template group singular names kebab_case,kebab-case form. for the singular form of the template group.,Scalar string.,computed_runtime
template_group.names.singular.dot_path,template group singular names dot_path,dot.path form. for the singular form of the template group.,Scalar string.,computed_runtime
template_group.names.singular.slash_path,template group singular names slash_path,slash/path form. for the singular form of the template group.,Scalar string.,computed_runtime
template_group.names.singular.filesystem_path,template group singular names filesystem_path,Filesystem-safe path form. for the singular form of the template group.,Scalar string.,computed_runtime
template_group.names.singular.constant_case,template group singular names constant_case,CONSTANT_CASE form. for the singular form of the template group.,Scalar string.,computed_runtime
template_group.names.singular.train_case,template group singular names train_case,Train-Case form. for the singular form of the template group.,Scalar string.,computed_runtime
template_group.names.singular.lower_case,template group singular names lower_case,Lowercase compact form. for the singular form of the template group.,Scalar string.,computed_runtime
template_group.names.singular.upper_case,template group singular names upper_case,Uppercase compact form. for the singular form of the template group.,Scalar string.,computed_runtime
template_group.names.plural.original,template group plural names original,Original input name before normalization. for the plural form of the template group.,Scalar string.,computed_runtime
template_group.names.plural.parts,template group plural names parts,Array of parsed words/segments. for the plural form of the template group.,Array of strings; loopable.,computed_runtime
template_group.names.plural.parts_length,template group plural names parts_length,Number of parsed name parts. for the plural form of the template group.,Number derived from parts length.,computed_runtime
template_group.names.plural.word,template group plural names word,Last or primary word in the parsed name. for the plural form of the template group.,Scalar string.,computed_runtime
template_group.names.plural.words,template group plural names words,Human readable words joined by spaces. for the plural form of the template group.,Scalar string.,computed_runtime
template_group.names.plural.words_lower,template group plural names words_lower,Lowercase words joined by spaces. for the plural form of the template group.,Scalar string.,computed_runtime
template_group.names.plural.words_upper,template group plural names words_upper,Uppercase words joined by spaces. for the plural form of the template group.,Scalar string.,computed_runtime
template_group.names.plural.words_title,template group plural names words_title,Title case words joined by spaces. for the plural form of the template group.,Scalar string.,computed_runtime
template_group.names.plural.camel_case,template group plural names camel_case,camelCase form. for the plural form of the template group.,Scalar string.,computed_runtime
template_group.names.plural.pascal_case,template group plural names pascal_case,PascalCase form. for the plural form of the template group.,Scalar string.,computed_runtime
template_group.names.plural.snake_case,template group plural names snake_case,snake_case form. for the plural form of the template group.,Scalar string.,computed_runtime
template_group.names.plural.kebab_case,template group plural names kebab_case,kebab-case form. for the plural form of the template group.,Scalar string.,computed_runtime
template_group.names.plural.dot_path,template group plural names dot_path,dot.path form. for the plural form of the template group.,Scalar string.,computed_runtime
template_group.names.plural.slash_path,template group plural names slash_path,slash/path form. for the plural form of the template group.,Scalar string.,computed_runtime
template_group.names.plural.filesystem_path,template group plural names filesystem_path,Filesystem-safe path form. for the plural form of the template group.,Scalar string.,computed_runtime
template_group.names.plural.constant_case,template group plural names constant_case,CONSTANT_CASE form. for the plural form of the template group.,Scalar string.,computed_runtime
template_group.names.plural.train_case,template group plural names train_case,Train-Case form. for the plural form of the template group.,Scalar string.,computed_runtime
template_group.names.plural.lower_case,template group plural names lower_case,Lowercase compact form. for the plural form of the template group.,Scalar string.,computed_runtime
template_group.names.plural.upper_case,template group plural names upper_case,Uppercase compact form. for the plural form of the template group.,Scalar string.,computed_runtime
template.names.original,template names original,Original input name before normalization. for the template.,Scalar string.,static
template.names.parts,template names parts,Array of parsed words/segments. for the template.,Array of strings; loopable.,computed_runtime
template.names.parts_length,template names parts_length,Number of parsed name parts. for the template.,Number derived from parts length.,computed_runtime
template.names.word,template names word,Last or primary word in the parsed name. for the template.,Scalar string.,computed_runtime
template.names.words,template names words,Human readable words joined by spaces. for the template.,Scalar string.,computed_runtime
template.names.words_lower,template names words_lower,Lowercase words joined by spaces. for the template.,Scalar string.,computed_runtime
template.names.words_upper,template names words_upper,Uppercase words joined by spaces. for the template.,Scalar string.,computed_runtime
template.names.words_title,template names words_title,Title case words joined by spaces. for the template.,Scalar string.,computed_runtime
template.names.camel_case,template names camel_case,camelCase form. for the template.,Scalar string.,computed_runtime
template.names.pascal_case,template names pascal_case,PascalCase form. for the template.,Scalar string.,computed_runtime
template.names.snake_case,template names snake_case,snake_case form. for the template.,Scalar string.,computed_runtime
template.names.kebab_case,template names kebab_case,kebab-case form. for the template.,Scalar string.,computed_runtime
template.names.dot_path,template names dot_path,dot.path form. for the template.,Scalar string.,computed_runtime
template.names.slash_path,template names slash_path,slash/path form. for the template.,Scalar string.,computed_runtime
template.names.filesystem_path,template names filesystem_path,Filesystem-safe path form. for the template.,Scalar string.,computed_runtime
template.names.constant_case,template names constant_case,CONSTANT_CASE form. for the template.,Scalar string.,computed_runtime
template.names.train_case,template names train_case,Train-Case form. for the template.,Scalar string.,computed_runtime
template.names.lower_case,template names lower_case,Lowercase compact form. for the template.,Scalar string.,computed_runtime
template.names.upper_case,template names upper_case,Uppercase compact form. for the template.,Scalar string.,computed_runtime
template.names.singular.original,template singular names original,Original input name before normalization. for the singular form of the template.,Scalar string.,computed_runtime
template.names.singular.parts,template singular names parts,Array of parsed words/segments. for the singular form of the template.,Array of strings; loopable.,computed_runtime
template.names.singular.parts_length,template singular names parts_length,Number of parsed name parts. for the singular form of the template.,Number derived from parts length.,computed_runtime
template.names.singular.word,template singular names word,Last or primary word in the parsed name. for the singular form of the template.,Scalar string.,computed_runtime
template.names.singular.words,template singular names words,Human readable words joined by spaces. for the singular form of the template.,Scalar string.,computed_runtime
template.names.singular.words_lower,template singular names words_lower,Lowercase words joined by spaces. for the singular form of the template.,Scalar string.,computed_runtime
template.names.singular.words_upper,template singular names words_upper,Uppercase words joined by spaces. for the singular form of the template.,Scalar string.,computed_runtime
template.names.singular.words_title,template singular names words_title,Title case words joined by spaces. for the singular form of the template.,Scalar string.,computed_runtime
template.names.singular.camel_case,template singular names camel_case,camelCase form. for the singular form of the template.,Scalar string.,computed_runtime
template.names.singular.pascal_case,template singular names pascal_case,PascalCase form. for the singular form of the template.,Scalar string.,computed_runtime
template.names.singular.snake_case,template singular names snake_case,snake_case form. for the singular form of the template.,Scalar string.,computed_runtime
template.names.singular.kebab_case,template singular names kebab_case,kebab-case form. for the singular form of the template.,Scalar string.,computed_runtime
template.names.singular.dot_path,template singular names dot_path,dot.path form. for the singular form of the template.,Scalar string.,computed_runtime
template.names.singular.slash_path,template singular names slash_path,slash/path form. for the singular form of the template.,Scalar string.,computed_runtime
template.names.singular.filesystem_path,template singular names filesystem_path,Filesystem-safe path form. for the singular form of the template.,Scalar string.,computed_runtime
template.names.singular.constant_case,template singular names constant_case,CONSTANT_CASE form. for the singular form of the template.,Scalar string.,computed_runtime
template.names.singular.train_case,template singular names train_case,Train-Case form. for the singular form of the template.,Scalar string.,computed_runtime
template.names.singular.lower_case,template singular names lower_case,Lowercase compact form. for the singular form of the template.,Scalar string.,computed_runtime
template.names.singular.upper_case,template singular names upper_case,Uppercase compact form. for the singular form of the template.,Scalar string.,computed_runtime
template.names.plural.original,template plural names original,Original input name before normalization. for the plural form of the template.,Scalar string.,computed_runtime
template.names.plural.parts,template plural names parts,Array of parsed words/segments. for the plural form of the template.,Array of strings; loopable.,computed_runtime
template.names.plural.parts_length,template plural names parts_length,Number of parsed name parts. for the plural form of the template.,Number derived from parts length.,computed_runtime
template.names.plural.word,template plural names word,Last or primary word in the parsed name. for the plural form of the template.,Scalar string.,computed_runtime
template.names.plural.words,template plural names words,Human readable words joined by spaces. for the plural form of the template.,Scalar string.,computed_runtime
template.names.plural.words_lower,template plural names words_lower,Lowercase words joined by spaces. for the plural form of the template.,Scalar string.,computed_runtime
template.names.plural.words_upper,template plural names words_upper,Uppercase words joined by spaces. for the plural form of the template.,Scalar string.,computed_runtime
template.names.plural.words_title,template plural names words_title,Title case words joined by spaces. for the plural form of the template.,Scalar string.,computed_runtime
template.names.plural.camel_case,template plural names camel_case,camelCase form. for the plural form of the template.,Scalar string.,computed_runtime
template.names.plural.pascal_case,template plural names pascal_case,PascalCase form. for the plural form of the template.,Scalar string.,computed_runtime
template.names.plural.snake_case,template plural names snake_case,snake_case form. for the plural form of the template.,Scalar string.,computed_runtime
template.names.plural.kebab_case,template plural names kebab_case,kebab-case form. for the plural form of the template.,Scalar string.,computed_runtime
template.names.plural.dot_path,template plural names dot_path,dot.path form. for the plural form of the template.,Scalar string.,computed_runtime
template.names.plural.slash_path,template plural names slash_path,slash/path form. for the plural form of the template.,Scalar string.,computed_runtime
template.names.plural.filesystem_path,template plural names filesystem_path,Filesystem-safe path form. for the plural form of the template.,Scalar string.,computed_runtime
template.names.plural.constant_case,template plural names constant_case,CONSTANT_CASE form. for the plural form of the template.,Scalar string.,computed_runtime
template.names.plural.train_case,template plural names train_case,Train-Case form. for the plural form of the template.,Scalar string.,computed_runtime
template.names.plural.lower_case,template plural names lower_case,Lowercase compact form. for the plural form of the template.,Scalar string.,computed_runtime
template.names.plural.upper_case,template plural names upper_case,Uppercase compact form. for the plural form of the template.,Scalar string.,computed_runtime
enum_value.names.original,enum value names original,Original input name before normalization. for the enum value.,Scalar string.,static
enum_value.names.parts,enum value names parts,Array of parsed words/segments. for the enum value.,Array of strings; loopable.,computed_runtime
enum_value.names.parts_length,enum value names parts_length,Number of parsed name parts. for the enum value.,Number derived from parts length.,computed_runtime
enum_value.names.word,enum value names word,Last or primary word in the parsed name. for the enum value.,Scalar string.,computed_runtime
enum_value.names.words,enum value names words,Human readable words joined by spaces. for the enum value.,Scalar string.,computed_runtime
enum_value.names.words_lower,enum value names words_lower,Lowercase words joined by spaces. for the enum value.,Scalar string.,computed_runtime
enum_value.names.words_upper,enum value names words_upper,Uppercase words joined by spaces. for the enum value.,Scalar string.,computed_runtime
enum_value.names.words_title,enum value names words_title,Title case words joined by spaces. for the enum value.,Scalar string.,computed_runtime
enum_value.names.camel_case,enum value names camel_case,camelCase form. for the enum value.,Scalar string.,computed_runtime
enum_value.names.pascal_case,enum value names pascal_case,PascalCase form. for the enum value.,Scalar string.,computed_runtime
enum_value.names.snake_case,enum value names snake_case,snake_case form. for the enum value.,Scalar string.,computed_runtime
enum_value.names.kebab_case,enum value names kebab_case,kebab-case form. for the enum value.,Scalar string.,computed_runtime
enum_value.names.dot_path,enum value names dot_path,dot.path form. for the enum value.,Scalar string.,computed_runtime
enum_value.names.slash_path,enum value names slash_path,slash/path form. for the enum value.,Scalar string.,computed_runtime
enum_value.names.filesystem_path,enum value names filesystem_path,Filesystem-safe path form. for the enum value.,Scalar string.,computed_runtime
enum_value.names.constant_case,enum value names constant_case,CONSTANT_CASE form. for the enum value.,Scalar string.,computed_runtime
enum_value.names.train_case,enum value names train_case,Train-Case form. for the enum value.,Scalar string.,computed_runtime
enum_value.names.lower_case,enum value names lower_case,Lowercase compact form. for the enum value.,Scalar string.,computed_runtime
enum_value.names.upper_case,enum value names upper_case,Uppercase compact form. for the enum value.,Scalar string.,computed_runtime
enum_value.names.singular.original,enum value singular names original,Original input name before normalization. for the singular form of the enum value.,Scalar string.,computed_runtime
enum_value.names.singular.parts,enum value singular names parts,Array of parsed words/segments. for the singular form of the enum value.,Array of strings; loopable.,computed_runtime
enum_value.names.singular.parts_length,enum value singular names parts_length,Number of parsed name parts. for the singular form of the enum value.,Number derived from parts length.,computed_runtime
enum_value.names.singular.word,enum value singular names word,Last or primary word in the parsed name. for the singular form of the enum value.,Scalar string.,computed_runtime
enum_value.names.singular.words,enum value singular names words,Human readable words joined by spaces. for the singular form of the enum value.,Scalar string.,computed_runtime
enum_value.names.singular.words_lower,enum value singular names words_lower,Lowercase words joined by spaces. for the singular form of the enum value.,Scalar string.,computed_runtime
enum_value.names.singular.words_upper,enum value singular names words_upper,Uppercase words joined by spaces. for the singular form of the enum value.,Scalar string.,computed_runtime
enum_value.names.singular.words_title,enum value singular names words_title,Title case words joined by spaces. for the singular form of the enum value.,Scalar string.,computed_runtime
enum_value.names.singular.camel_case,enum value singular names camel_case,camelCase form. for the singular form of the enum value.,Scalar string.,computed_runtime
enum_value.names.singular.pascal_case,enum value singular names pascal_case,PascalCase form. for the singular form of the enum value.,Scalar string.,computed_runtime
enum_value.names.singular.snake_case,enum value singular names snake_case,snake_case form. for the singular form of the enum value.,Scalar string.,computed_runtime
enum_value.names.singular.kebab_case,enum value singular names kebab_case,kebab-case form. for the singular form of the enum value.,Scalar string.,computed_runtime
enum_value.names.singular.dot_path,enum value singular names dot_path,dot.path form. for the singular form of the enum value.,Scalar string.,computed_runtime
enum_value.names.singular.slash_path,enum value singular names slash_path,slash/path form. for the singular form of the enum value.,Scalar string.,computed_runtime
enum_value.names.singular.filesystem_path,enum value singular names filesystem_path,Filesystem-safe path form. for the singular form of the enum value.,Scalar string.,computed_runtime
enum_value.names.singular.constant_case,enum value singular names constant_case,CONSTANT_CASE form. for the singular form of the enum value.,Scalar string.,computed_runtime
enum_value.names.singular.train_case,enum value singular names train_case,Train-Case form. for the singular form of the enum value.,Scalar string.,computed_runtime
enum_value.names.singular.lower_case,enum value singular names lower_case,Lowercase compact form. for the singular form of the enum value.,Scalar string.,computed_runtime
enum_value.names.singular.upper_case,enum value singular names upper_case,Uppercase compact form. for the singular form of the enum value.,Scalar string.,computed_runtime
enum_value.names.plural.original,enum value plural names original,Original input name before normalization. for the plural form of the enum value.,Scalar string.,computed_runtime
enum_value.names.plural.parts,enum value plural names parts,Array of parsed words/segments. for the plural form of the enum value.,Array of strings; loopable.,computed_runtime
enum_value.names.plural.parts_length,enum value plural names parts_length,Number of parsed name parts. for the plural form of the enum value.,Number derived from parts length.,computed_runtime
enum_value.names.plural.word,enum value plural names word,Last or primary word in the parsed name. for the plural form of the enum value.,Scalar string.,computed_runtime
enum_value.names.plural.words,enum value plural names words,Human readable words joined by spaces. for the plural form of the enum value.,Scalar string.,computed_runtime
enum_value.names.plural.words_lower,enum value plural names words_lower,Lowercase words joined by spaces. for the plural form of the enum value.,Scalar string.,computed_runtime
enum_value.names.plural.words_upper,enum value plural names words_upper,Uppercase words joined by spaces. for the plural form of the enum value.,Scalar string.,computed_runtime
enum_value.names.plural.words_title,enum value plural names words_title,Title case words joined by spaces. for the plural form of the enum value.,Scalar string.,computed_runtime
enum_value.names.plural.camel_case,enum value plural names camel_case,camelCase form. for the plural form of the enum value.,Scalar string.,computed_runtime
enum_value.names.plural.pascal_case,enum value plural names pascal_case,PascalCase form. for the plural form of the enum value.,Scalar string.,computed_runtime
enum_value.names.plural.snake_case,enum value plural names snake_case,snake_case form. for the plural form of the enum value.,Scalar string.,computed_runtime
enum_value.names.plural.kebab_case,enum value plural names kebab_case,kebab-case form. for the plural form of the enum value.,Scalar string.,computed_runtime
enum_value.names.plural.dot_path,enum value plural names dot_path,dot.path form. for the plural form of the enum value.,Scalar string.,computed_runtime
enum_value.names.plural.slash_path,enum value plural names slash_path,slash/path form. for the plural form of the enum value.,Scalar string.,computed_runtime
enum_value.names.plural.filesystem_path,enum value plural names filesystem_path,Filesystem-safe path form. for the plural form of the enum value.,Scalar string.,computed_runtime
enum_value.names.plural.constant_case,enum value plural names constant_case,CONSTANT_CASE form. for the plural form of the enum value.,Scalar string.,computed_runtime
