variable,name,description,behaviour,computed_at_runtime_or_static
index.name.original.plural,index name original plural,Original input name before normalization. for the plural form of the index.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
index.name.parts.array.all.plural,index name parts array all plural,Array of parsed name parts; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
index.name.parts.array.count.plural,index name parts array count plural,Number of parsed name parts.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
index.name.word.plural,index name word plural,Last or primary word in the parsed name. for the plural form of the index.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
index.name.words.plural,index name words plural,Human readable words joined by spaces. for the plural form of the index.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
index.name.words.lower.plural,index name words lower plural,Lowercase words joined by spaces. for the plural form of the index.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
index.name.words.upper.plural,index name words upper plural,Uppercase words joined by spaces. for the plural form of the index.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
index.name.words.title.plural,index name words title plural,Title case words joined by spaces. for the plural form of the index.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
index.name.casing.camel.plural,index name casing camel plural,Plural camel casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
index.name.casing.pascal.plural,index name casing pascal plural,Plural pascal casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
index.name.casing.snake.plural,index name casing snake plural,Plural snake casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
index.name.casing.kebab.plural,index name casing kebab plural,Plural kebab casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
index.name.path.dot.plural,index name path dot plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
index.name.path.slash.plural,index name path slash plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
index.name.path.filesystem.plural,index name path filesystem plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
index.name.casing.constant.plural,index name casing constant plural,Plural constant casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
index.name.casing.train.plural,index name casing train plural,Plural train casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
index.name.casing.lower.plural,index name casing lower plural,Plural lower casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
index.name.casing.upper.plural,index name casing upper plural,Plural upper casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.original,check name original,Original input name before normalization.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,static
check.name.parts.array.all,check name parts array all,Array of parsed name parts; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
check.name.parts.array.count,check name parts array count,Number of parsed name parts.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
check.name.word,check name word,Last or primary word in the parsed name. for the check.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.words,check name words,Human readable words joined by spaces. for the check.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.words.lower,check name words lower,Lowercase words joined by spaces. for the check.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.words.upper,check name words upper,Uppercase words joined by spaces. for the check.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.words.title,check name words title,Title case words joined by spaces. for the check.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.casing.camel,check name casing camel,Camel casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.casing.pascal,check name casing pascal,Pascal casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.casing.snake,check name casing snake,Snake casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.casing.kebab,check name casing kebab,Kebab casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.path.dot,check name path dot,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.path.slash,check name path slash,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.path.filesystem,check name path filesystem,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.casing.constant,check name casing constant,Constant casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.casing.train,check name casing train,Train casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.casing.lower,check name casing lower,Lower casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.casing.upper,check name casing upper,Upper casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.original.singular,check name original singular,Original input name before normalization. for the singular form of the check.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.parts.array.all.singular,check name parts array all singular,Array of parsed name parts; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
check.name.parts.array.count.singular,check name parts array count singular,Number of parsed name parts.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
check.name.word.singular,check name word singular,Last or primary word in the parsed name. for the singular form of the check.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.words.singular,check name words singular,Human readable words joined by spaces. for the singular form of the check.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.words.lower.singular,check name words lower singular,Lowercase words joined by spaces. for the singular form of the check.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.words.upper.singular,check name words upper singular,Uppercase words joined by spaces. for the singular form of the check.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.words.title.singular,check name words title singular,Title case words joined by spaces. for the singular form of the check.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.casing.camel.singular,check name casing camel singular,Singular camel casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.casing.pascal.singular,check name casing pascal singular,Singular pascal casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.casing.snake.singular,check name casing snake singular,Singular snake casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.casing.kebab.singular,check name casing kebab singular,Singular kebab casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.path.dot.singular,check name path dot singular,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.path.slash.singular,check name path slash singular,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.path.filesystem.singular,check name path filesystem singular,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.casing.constant.singular,check name casing constant singular,Singular constant casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.casing.train.singular,check name casing train singular,Singular train casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.casing.lower.singular,check name casing lower singular,Singular lower casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.casing.upper.singular,check name casing upper singular,Singular upper casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.original.plural,check name original plural,Original input name before normalization. for the plural form of the check.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.parts.array.all.plural,check name parts array all plural,Array of parsed name parts; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
check.name.parts.array.count.plural,check name parts array count plural,Number of parsed name parts.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
check.name.word.plural,check name word plural,Last or primary word in the parsed name. for the plural form of the check.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.words.plural,check name words plural,Human readable words joined by spaces. for the plural form of the check.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.words.lower.plural,check name words lower plural,Lowercase words joined by spaces. for the plural form of the check.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.words.upper.plural,check name words upper plural,Uppercase words joined by spaces. for the plural form of the check.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.words.title.plural,check name words title plural,Title case words joined by spaces. for the plural form of the check.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.casing.camel.plural,check name casing camel plural,Plural camel casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.casing.pascal.plural,check name casing pascal plural,Plural pascal casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.casing.snake.plural,check name casing snake plural,Plural snake casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.casing.kebab.plural,check name casing kebab plural,Plural kebab casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.path.dot.plural,check name path dot plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.path.slash.plural,check name path slash plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.path.filesystem.plural,check name path filesystem plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.casing.constant.plural,check name casing constant plural,Plural constant casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.casing.train.plural,check name casing train plural,Plural train casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.casing.lower.plural,check name casing lower plural,Plural lower casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
check.name.casing.upper.plural,check name casing upper plural,Plural upper casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.original,transition name original,Original input name before normalization.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,static
transition.name.parts.array.all,transition name parts array all,Array of parsed name parts; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
transition.name.parts.array.count,transition name parts array count,Number of parsed name parts.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
transition.name.word,transition name word,Last or primary word in the parsed name. for the transition.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.words,transition name words,Human readable words joined by spaces. for the transition.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.words.lower,transition name words lower,Lowercase words joined by spaces. for the transition.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.words.upper,transition name words upper,Uppercase words joined by spaces. for the transition.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.words.title,transition name words title,Title case words joined by spaces. for the transition.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.casing.camel,transition name casing camel,Camel casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.casing.pascal,transition name casing pascal,Pascal casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.casing.snake,transition name casing snake,Snake casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.casing.kebab,transition name casing kebab,Kebab casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.path.dot,transition name path dot,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.path.slash,transition name path slash,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.path.filesystem,transition name path filesystem,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.casing.constant,transition name casing constant,Constant casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.casing.train,transition name casing train,Train casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.casing.lower,transition name casing lower,Lower casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.casing.upper,transition name casing upper,Upper casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.original.singular,transition name original singular,Original input name before normalization. for the singular form of the transition.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.parts.array.all.singular,transition name parts array all singular,Array of parsed name parts; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
transition.name.parts.array.count.singular,transition name parts array count singular,Number of parsed name parts.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
transition.name.word.singular,transition name word singular,Last or primary word in the parsed name. for the singular form of the transition.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.words.singular,transition name words singular,Human readable words joined by spaces. for the singular form of the transition.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.words.lower.singular,transition name words lower singular,Lowercase words joined by spaces. for the singular form of the transition.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.words.upper.singular,transition name words upper singular,Uppercase words joined by spaces. for the singular form of the transition.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.words.title.singular,transition name words title singular,Title case words joined by spaces. for the singular form of the transition.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.casing.camel.singular,transition name casing camel singular,Singular camel casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.casing.pascal.singular,transition name casing pascal singular,Singular pascal casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.casing.snake.singular,transition name casing snake singular,Singular snake casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.casing.kebab.singular,transition name casing kebab singular,Singular kebab casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.path.dot.singular,transition name path dot singular,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.path.slash.singular,transition name path slash singular,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.path.filesystem.singular,transition name path filesystem singular,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.casing.constant.singular,transition name casing constant singular,Singular constant casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.casing.train.singular,transition name casing train singular,Singular train casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.casing.lower.singular,transition name casing lower singular,Singular lower casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.casing.upper.singular,transition name casing upper singular,Singular upper casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.original.plural,transition name original plural,Original input name before normalization. for the plural form of the transition.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.parts.array.all.plural,transition name parts array all plural,Array of parsed name parts; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
transition.name.parts.array.count.plural,transition name parts array count plural,Number of parsed name parts.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
transition.name.word.plural,transition name word plural,Last or primary word in the parsed name. for the plural form of the transition.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.words.plural,transition name words plural,Human readable words joined by spaces. for the plural form of the transition.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.words.lower.plural,transition name words lower plural,Lowercase words joined by spaces. for the plural form of the transition.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.words.upper.plural,transition name words upper plural,Uppercase words joined by spaces. for the plural form of the transition.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.words.title.plural,transition name words title plural,Title case words joined by spaces. for the plural form of the transition.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.casing.camel.plural,transition name casing camel plural,Plural camel casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.casing.pascal.plural,transition name casing pascal plural,Plural pascal casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.casing.snake.plural,transition name casing snake plural,Plural snake casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.casing.kebab.plural,transition name casing kebab plural,Plural kebab casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.path.dot.plural,transition name path dot plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.path.slash.plural,transition name path slash plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.path.filesystem.plural,transition name path filesystem plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.casing.constant.plural,transition name casing constant plural,Plural constant casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.casing.train.plural,transition name casing train plural,Plural train casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.casing.lower.plural,transition name casing lower plural,Plural lower casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
transition.name.casing.upper.plural,transition name casing upper plural,Plural upper casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.original,template group name original,Original input name before normalization.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,static
template_group.name.parts.array.all,template group name parts array all,Array of parsed name parts; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
template_group.name.parts.array.count,template group name parts array count,Number of parsed name parts.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
template_group.name.word,template group name word,Last or primary word in the parsed name. for the template group.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.words,template group name words,Human readable words joined by spaces. for the template group.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.words.lower,template group name words lower,Lowercase words joined by spaces. for the template group.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.words.upper,template group name words upper,Uppercase words joined by spaces. for the template group.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.words.title,template group name words title,Title case words joined by spaces. for the template group.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.casing.camel,template group name casing camel,Camel casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.casing.pascal,template group name casing pascal,Pascal casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.casing.snake,template group name casing snake,Snake casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.casing.kebab,template group name casing kebab,Kebab casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.path.dot,template group name path dot,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.path.slash,template group name path slash,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.path.filesystem,template group name path filesystem,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.casing.constant,template group name casing constant,Constant casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.casing.train,template group name casing train,Train casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.casing.lower,template group name casing lower,Lower casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.casing.upper,template group name casing upper,Upper casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.original.singular,template group name original singular,Original input name before normalization. for the singular form of the template group.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.parts.array.all.singular,template group name parts array all singular,Array of parsed name parts; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
template_group.name.parts.array.count.singular,template group name parts array count singular,Number of parsed name parts.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
template_group.name.word.singular,template group name word singular,Last or primary word in the parsed name. for the singular form of the template group.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.words.singular,template group name words singular,Human readable words joined by spaces. for the singular form of the template group.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.words.lower.singular,template group name words lower singular,Lowercase words joined by spaces. for the singular form of the template group.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.words.upper.singular,template group name words upper singular,Uppercase words joined by spaces. for the singular form of the template group.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.words.title.singular,template group name words title singular,Title case words joined by spaces. for the singular form of the template group.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.casing.camel.singular,template group name casing camel singular,Singular camel casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.casing.pascal.singular,template group name casing pascal singular,Singular pascal casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.casing.snake.singular,template group name casing snake singular,Singular snake casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.casing.kebab.singular,template group name casing kebab singular,Singular kebab casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.path.dot.singular,template group name path dot singular,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.path.slash.singular,template group name path slash singular,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.path.filesystem.singular,template group name path filesystem singular,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.casing.constant.singular,template group name casing constant singular,Singular constant casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.casing.train.singular,template group name casing train singular,Singular train casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.casing.lower.singular,template group name casing lower singular,Singular lower casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.casing.upper.singular,template group name casing upper singular,Singular upper casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.original.plural,template group name original plural,Original input name before normalization. for the plural form of the template group.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.parts.array.all.plural,template group name parts array all plural,Array of parsed name parts; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
